work,Federal-gov,Local-gov,Self-emp-not-inc,Private,State-gov,Without-pay,Self-emp-inc,fnlwgt,education,edu2,edu3,edu1,marital,occupation,Exec-managerial,Protective-serv,Handlers-cleaners,Transport-moving,Armed-Forces,Other-service,Prof-specialty,Priv-house-serv,Craft-repair,Sales,Machine-op-inspct,Tech-support,Adm-clerical,Farming-fishing,sex,capitalgain,capitalloss,hoursperweek,race,Amer-Indian-Eskimo,Other,Asian-Pac-Islander,White,Black,income
1,0,0,0,1,0,0,0,4.792519102449237,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-2.1805258471913764,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.3346596127004814,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0.10215143898903581,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-0.5644140292039996,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.14810594532605936,4.323695806460002,-0.06406115335309721,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-0.28777115033069217,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-0.8502139937114801,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5688368077965706,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,0
1,1,0,0,0,0,0,0,-0.5573108693195477,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0.7372709235972217,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-0.30681750809315167,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.7694928099643413,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.5839643594883814,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.2058176629498703,1,0,0,0,1,0,0
